model,train_rmse,test_rmse,n_lags,train_size,test_size
AR(1),46311.410479658,53385.87774286043,1,139,24
AR(2),28527.786068873145,39101.86014316091,2,138,24
AR(3),28467.767939391175,38528.285252710695,3,137,24
AR(4),28503.5208565661,38745.07733104142,4,136,24
AR(5),28275.559686266486,39460.13720373812,5,135,24
